region,lat,lng
Hokkaido Sapporo-shi,43.0617713,141.3544507
Hokkaido Sapporo-shi Chuo-ku,43.04684839999999,141.3221139
Hokkaido Sapporo-shi Kita-ku,43.1448729,141.3585619
Hokkaido Sapporo-shi Higashi-ku,43.11938079999999,141.3993795
Hokkaido Sapporo-shi Shiroishi-ku,43.0623511,141.4132777
Hokkaido Sapporo-shi Toyohira-ku,43.0308342,141.3864478
Hokkaido Sapporo-shi Minami-ku,42.9539188,141.2199991
Hokkaido Sapporo-shi Nishi-ku,43.0628202,141.2577227
Hokkaido Sapporo-shi Atsubetsu-ku,43.046262,141.4775858
Hokkaido Sapporo-shi Teine-ku,43.1103641,141.2200076
Hokkaido Sapporo-shi Kiyota-ku,42.9612319,141.4206619
Hokkaido Hakodate-shi,41.7686961,140.7290599
Hokkaido Otaru-shi,43.1902372,140.994172
Hokkaido Asahikawa-shi,43.7708833,142.3650083
Hokkaido Muroran-shi,42.3151792,140.9737666
Hokkaido Kushiro-shi,42.9849413,144.3818041
Hokkaido Obihiro-shi,42.9233354,143.197199
Hokkaido Kitami-shi,43.8039761,143.8957837
Hokkaido Yubari-shi,43.0567681,141.9739433
Hokkaido Iwamizawa-shi,43.1753202,141.8309669
Hokkaido Abashiri-shi,44.0206059,144.2734837
Hokkaido Rumoi-shi,43.9410074,141.6369432
Hokkaido Tomakomai-shi,42.63124639999999,141.6031222
Hokkaido Wakkanai-shi,45.4156307,141.6733641
Hokkaido Bibai-shi,43.3328322,141.8538617
Hokkaido Ashibetsu-shi,43.5183186,142.1894916
Hokkaido Ebetsu-shi,43.1037667,141.5362413
Hokkaido Akabira-shi,43.5580562,142.044207
Hokkaido Mombetsu-shi,44.3564386,143.3543524
Hokkaido Shibetsu-shi,44.1786188,142.4001131
Hokkaido Nayoro-shi,44.3560311,142.4631977
Hokkaido Mikasa-shi,43.2456519,141.8752815
Hokkaido Nemuro-shi,43.3301005,145.5828181
Hokkaido Chitose-shi,42.82128669999999,141.6510125
Hokkaido Takikawa-shi,43.5578133,141.9103331
Hokkaido Sunagawa-shi,43.49497969999999,141.9034416
Hokkaido Utashinai-shi,43.5214686,142.0345304
Hokkaido Fukagawa-shi,43.7232882,142.0533179
Hokkaido Furano-shi,43.3420458,142.3831624
Hokkaido Noboribetsu-shi,42.4127914,141.1066064
Hokkaido Eniwa-shi,42.8825193,141.5777013
Hokkaido Date-shi,42.4718668,140.864685
Hokkaido Kitahiroshima-shi,42.9854112,141.563034
Hokkaido Ishikari-shi,43.1714217,141.3155371
Hokkaido Hokuto-shi,41.823019,140.6526793
Hokkaido Tobetsu-cho,43.2237316,141.5170373
Hokkaido Shinshinotsu-mura,43.2246525,141.649351
Hokkaido Matsumae-cho,41.4300208,140.1104794
Hokkaido Fukushima-cho,41.4833932,140.2514294
Hokkaido Shiriuchi-cho,41.5982835,140.4188373
Hokkaido Kikonai-cho,41.6784048,140.4377189
Hokkaido Nanae-cho,41.895745,140.6944896
Hokkaido Shikabe-cho,42.03852270000001,140.8159209
Hokkaido Mori-machi,42.1050411,140.5765667
Hokkaido Yakumo-cho,42.2559793,140.2653205
Hokkaido Oshamambe-cho,42.5135467,140.380348
Hokkaido Esashi-cho,44.9387043,142.5813978
Hokkaido Kaminokuni-cho,41.8011503,140.1212558
Hokkaido Assabu-cho,41.9209246,140.2255309
Hokkaido Otobe-cho,41.96855559999999,140.1356254
Hokkaido Okushiri-cho,42.1612765,139.4521966
Hokkaido Imakane-cho,42.429358,140.008706
Hokkaido Setana-cho,42.4174342,139.8827532
Hokkaido Shimamaki-mura,42.7006352,140.0613937
Hokkaido Suttsu-cho,42.7913873,140.2284401
Hokkaido Kuromatsunai-cho,42.6678745,140.3075375
Hokkaido Rankoshi-cho,42.8091742,140.5283121
Hokkaido Niseko-cho,42.8047856,140.6874494
Hokkaido Makkari-mura,42.7630096,140.8036968
Hokkaido Rusutsu-mura,42.7373349,140.8757346
Hokkaido Kimobetsu-cho,42.7954812,140.9345793
Hokkaido Kyogoku-cho,42.8584874,140.884085
Hokkaido Kutchan-cho,42.9023044,140.7565005
Hokkaido Kyowa-cho,42.9803995,140.6112175
Hokkaido Iwanai-cho,42.9797665,140.5147367
Hokkaido Tomari-mura,43.0632098,140.4988147
Hokkaido Kamoenai-mura,43.1438043,140.4307981
Hokkaido Shakotan-cho,43.2971136,140.4640133
Hokkaido Furubira-cho,43.2653745,140.6389884
Hokkaido Niki-cho,43.1520521,140.7660378
Hokkaido Yoichi-cho,43.1953559,140.7847296
Hokkaido Akaigawa-mura,43.0835243,140.813637
Hokkaido Nanporo-cho,43.0637414,141.6503413
Hokkaido Naie-cho,43.4254115,141.8829065
Hokkaido Kamisunagawa-cho,43.4826633,141.9840593
Hokkaido Yuni-cho,42.9995828,141.7903261
Hokkaido Naganuma-cho,43.0103816,141.6953098
Hokkaido Kuriyama-cho,43.0563748,141.7841372
Hokkaido Tsukigata-cho,43.3383584,141.6694437
Hokkaido Urausu-cho,43.430499,141.8195324
Hokkaido Shintotsukawa-cho,43.548586,141.8769728
Hokkaido Moseushi-cho,43.7001648,141.9614861
Hokkaido Chippubetsu-cho,43.7670812,141.958195
Hokkaido Uryu-cho,43.64393159999999,141.8890099
Hokkaido Hokuryu-cho,43.7315055,141.8792542
Hokkaido Numata-cho,43.8068287,141.9334172
Hokkaido Takasu-cho,43.8433679,142.3531913
Hokkaido Higashikagura-cho,43.6962368,142.4520034
Hokkaido Tohma-cho,43.8282629,142.5085146
Hokkaido Pippu-cho,43.875077,142.4777157
Hokkaido Aibetsu-cho,43.9064652,142.5777396
Hokkaido Kamikawa-cho,43.8471582,142.7703824
Hokkaido Higashikawa-cho,43.6991818,142.5100106
Hokkaido Biei-cho,43.5882639,142.4670046
Hokkaido Kamifurano-cho,43.4556476,142.4671275
Hokkaido Nakafurano-cho,43.4057536,142.425137
Hokkaido Minamifurano-cho,43.1642201,142.5684074
Hokkaido Shimukappu-mura,42.9799042,142.3984005
Hokkaido Wassamu-cho,44.0233269,142.413288
Hokkaido Kembuchi-cho,44.095823,142.3611596
Hokkaido Shimokawa-cho,44.3026182,142.6352434
Hokkaido Bifuka-cho,44.4810795,142.3430241
Hokkaido Otoineppu-mura,44.7250795,142.2624327
Hokkaido Nakagawa-cho,44.8115037,142.0714444
Hokkaido Horokanai-cho,44.0099445,142.1538429
Hokkaido Mashike-cho,43.8560831,141.5251558
Hokkaido Obira-cho,44.0151849,141.6627351
Hokkaido Tomamae-cho,44.3061419,141.6532114
Hokkaido Haboro-cho,44.3608225,141.6973093
Hokkaido Shosambetsu-mura,44.532023,141.7666445
Hokkaido Embetsu-cho,43.1037667,141.5362413
Hokkaido Teshio-cho,44.8882241,141.7452424
Hokkaido Sarufutsu-mura,45.330636,142.1089075
Hokkaido Hamatombetsu-cho,45.1237674,142.3596877
Hokkaido Nakatombetsu-cho,44.9697714,142.2867478
Hokkaido Esashi-cho,44.9387043,142.5813978
Hokkaido Toyotomi-cho,45.1029277,141.7775395
Hokkaido Rebun-cho,45.3032949,141.0478819
Hokkaido Rishiri-cho,45.1870791,141.1396512
Hokkaido Rishirifuji-cho,45.24752660000001,141.2146261
Hokkaido Horonobe-cho,45.0177333,141.8494103
Hokkaido Bihoro-cho,43.8237529,144.1071687
Hokkaido Tsubetsu-cho,43.7065935,144.0248757
Hokkaido Shari-cho,43.9114765,144.6707651
Hokkaido Kiyosato-cho,43.8352389,144.5945629
Hokkaido Koshimizu-cho,43.8566446,144.4620497
Hokkaido Kunneppu-cho,43.7254025,143.7416559
Hokkaido Oketo-cho,43.6763094,143.5862555
Hokkaido Saroma-cho,44.017912,143.7747588
Hokkaido Engaru-cho,44.062027,143.5279742
Hokkaido Yubetsu-cho,44.15154829999999,143.5729109
Hokkaido Takinoue-cho,44.1923486,143.0775452
Hokkaido Okoppe-cho,44.4698144,143.1240523
Hokkaido Nishiokoppe-mura,44.3287656,142.944533
Hokkaido Omu-cho,44.5825323,142.9619827
Hokkaido Ozora-cho,43.9118662,144.1727428
Hokkaido Toyoura-cho,42.583484,140.7118457
Hokkaido Sobetsu-cho,42.5526328,140.8857213
Hokkaido Shiraoi-cho,42.5513683,141.3558132
Hokkaido Atsuma-cho,42.7229102,141.8782468
Hokkaido Toyako-cho,42.55116659999999,140.7641342
Hokkaido Abira-cho,42.7628108,141.8179269
Hokkaido Mukawa-cho,42.5747255,141.926692
Hokkaido Hidaka-cho,42.48032569999999,142.0744267
Hokkaido Biratori-cho,42.5850188,142.1285605
Hokkaido Niikappu-cho,42.3624744,142.3183379
Hokkaido Urakawa-cho,42.1686147,142.7684545
Hokkaido Samani-cho,42.1278935,142.9336901
Hokkaido Erimo-cho,42.0163309,143.1485549
Hokkaido Shinhidaka-cho,42.34131989999999,142.3686469
Hokkaido Otofuke-cho,42.9941462,143.1979057
Hokkaido Shihoro-cho,43.1680544,143.2414014
Hokkaido Kamishihoro-cho,43.2326472,143.2961799
Hokkaido Shikaoi-cho,43.0988745,142.9889931
Hokkaido Shintoku-cho,43.0797832,142.8388718
Hokkaido Shimizu-cho,43.0113771,142.884509
Hokkaido Memuro-cho,42.9119137,143.0508638
Hokkaido Nakasatsunai-mura,42.6976121,143.1323949
Hokkaido Sarabetsu-mura,42.6504165,143.1878331
Hokkaido Taiki-cho,42.4975719,143.2788614
Hokkaido Hiroo-cho,42.2859988,143.3117489
Hokkaido Makubetsu-cho,42.9085701,143.3560712
Hokkaido Ikeda-cho,42.9292788,143.4477073
Hokkaido Toyokoro-cho,42.80105040000001,143.5058522
Hokkaido Hombetsu-cho,44.3564386,143.3543524
Hokkaido Ashoro-cho,43.2449157,143.5540194
Hokkaido Rikubetsu-cho,43.468954,143.7474309
Hokkaido Urahoro-cho,42.8089581,143.6585257
Hokkaido Kushiro-cho,42.9960338,144.466091
Hokkaido Akkeshi-cho,43.0519506,144.8473693
Hokkaido Hamanaka-cho,43.0777906,145.1291538
Hokkaido Shibecha-cho,43.3033203,144.6008458
Hokkaido Teshikaga-cho,43.48534799999999,144.4592988
Hokkaido Tsurui-mura,43.2301969,144.3213393
Hokkaido Shiranuka-cho,42.9561621,144.0717588
Hokkaido Betsukai-cho,43.3938735,145.1175339
Hokkaido Nakashibetsu-cho,43.5552107,144.9715637
Hokkaido Shibetsu-cho,43.6612538,145.1313612
Hokkaido Rausu-cho,44.0218788,145.1897129
Aomori-ken Aomori-shi,40.8222197,140.7473524
Aomori-ken Hirosaki-shi,40.6030626,140.4640543
Aomori-ken Hachinohe-shi,40.5122055,141.4882743
Aomori-ken Kuroishi-shi,40.6426266,140.5946719
Aomori-ken Goshogawara-shi,40.8076933,140.4461156
Aomori-ken Towada-shi,40.6126011,141.2069318
Aomori-ken Misawa-shi,40.683157,141.3690006
Aomori-ken Mutsu-shi,41.2927986,141.1834683
Aomori-ken Tsugaru-shi,40.808222,140.3805004
Aomori-ken Hirakawa-shi,40.5840748,140.5666153
Aomori-ken Hiranai-machi,40.9260794,140.9558994
Aomori-ken Imabetsu-machi,41.1819076,140.4817372
Aomori-ken Yomogita-mura,40.9719299,140.6560044
Aomori-ken Sotogahama-machi,41.0425878,140.6320133
Aomori-ken Ajigasawa-machi,40.7798998,140.208653
Aomori-ken Fukaura-machi,40.6478459,139.9276061
Aomori-ken Nishimeya-mura,40.5767066,140.2962588
Aomori-ken Fujisaki-machi,40.6561385,140.5028079
Aomori-ken Owani-machi,40.517942,140.5686345
Aomori-ken Inakadate-mura,40.63130109999999,140.5502528
Aomori-ken Itayanagi-machi,40.6959871,140.4575435
Aomori-ken Tsuruta-machi,40.7587474,140.4286196
Aomori-ken Nakadomari-machi,40.9604366,140.4338661
Aomori-ken Noheji-machi,40.86446129999999,141.1287144
Aomori-ken Shichinohe-machi,40.6974224,141.1510243
Aomori-ken Rokunohe-machi,40.6095745,141.3247266
Aomori-ken Yokohama-machi,41.0831433,141.2477228
Aomori-ken Tohoku-machi,40.7279629,141.2578405
Aomori-ken Rokkasho-mura,40.9673406,141.3744879
Aomori-ken Oirase-cho,40.5993178,141.3976282
Aomori-ken Oma-machi,41.5267934,140.9074974
Aomori-ken Higashidori-mura,41.2774076,141.3305953
Aomori-ken Kazamaura-mura,41.4875777,140.995713
Aomori-ken Sai-mura,41.4296776,140.8585705
Aomori-ken Sannohe-machi,40.3784424,141.2586937
Aomori-ken Gonohe-machi,40.5311717,141.3079712
Aomori-ken Takko-machi,40.3399922,141.1522493
Aomori-ken Nambu-cho,40.4667161,141.3820655
Aomori-ken Hashikami-cho,40.4524042,141.6210049
Aomori-ken Shingo-mura,40.4657658,141.1734956
Iwate-ken Morioka-shi,39.7019558,141.1543303
Iwate-ken Miyako-shi,39.6394645,141.9462611
Iwate-ken Ofunato-shi,39.0819002,141.7084933
Iwate-ken Hanamaki-shi,39.3886253,141.1168998
Iwate-ken Kitakami-shi,39.2867738,141.1131535
Iwate-ken Kuji-shi,40.190462,141.7755843
Iwate-ken Tono-shi,39.3306618,141.5314512
Iwate-ken Ichinoseki-shi,38.934703,141.1268764
Iwate-ken Rikuzentakata-shi,39.0277532,141.6255002
Iwate-ken Kamaishi-shi,39.27580460000001,141.8857275
Iwate-ken Ninohe-shi,40.2711044,141.3050625
Iwate-ken Hachimantai-shi,39.9565121,141.0712561
Iwate-ken Oshu-shi,39.1444106,141.1392153
Iwate-ken Takizawashi,39.7346312,141.0773304
Iwate-ken Shizukuishi-cho,39.6962888,140.9757447
Iwate-ken Kuzumaki-machi,40.0398211,141.4366957
Iwate-ken Iwate-machi,39.9726552,141.2124895
Iwate-ken Shiwa-cho,39.55455140000001,141.155622
Iwate-ken Yahaba-cho,39.6060296,141.1429791
Iwate-ken Nishiwaga-machi,39.317689,140.778656
Iwate-ken Kanegasaki-cho,39.1957796,141.116246
Iwate-ken Hiraizumi-cho,39.0017355,141.102596
Iwate-ken Sumita-cho,39.1422926,141.5749901
Iwate-ken Otsuchi-cho,39.3583253,141.9005361
Iwate-ken Yamada-machi,39.4676212,141.9490579
Iwate-ken Iwaizumi-cho,39.84320030000001,141.7965427
Iwate-ken Tanohata-mura,39.9304748,141.8888973
Iwate-ken Fudai-mura,40.00521080000001,141.8859406
Iwate-ken Karumai-machi,40.3267202,141.4606368
Iwate-ken Noda-mura,40.1102393,141.8177731
Iwate-ken Kunohe-mura,40.2113905,141.4190487
Iwate-ken Hirono-cho,40.4082359,141.7187513
Iwate-ken Ichinohe-machi,40.2130221,141.295616
Miyagi-ken Sendai-shi,38.268195,140.869418
Miyagi-ken Sendai-shi Aoba-ku,38.3267774,140.6779418
Miyagi-ken Sendai-shi Miyagino-ku,38.2789376,140.9508565
Miyagi-ken Sendai-shi Wakabayashi-ku,38.2209121,140.9429872
Miyagi-ken Sendai-shi Taihaku-ku,38.2589652,140.6691687
Miyagi-ken Sendai-shi Izumi-ku,38.33822600000001,140.7992108
Miyagi-ken Ishinomaki-shi,38.434332,141.3028682
Miyagi-ken Shiogama-shi,38.31437,141.0220608
Miyagi-ken Kesennuma-shi,38.907641,141.5703316
Miyagi-ken Shiroishi-shi,38.0022622,140.6199545
Miyagi-ken Natori-shi,38.1715435,140.8919822
Miyagi-ken Kakuda-shi,37.977024,140.7818683
Miyagi-ken Tagajo-shi,38.2938504,141.0044375
Miyagi-ken Iwanuma-shi,38.1043106,140.8701987
Miyagi-ken Tome-shi,38.6918716,141.1876508
Miyagi-ken Kurihara-shi,38.7300671,141.0213438
Miyagi-ken Higashimatsushima-shi,38.4268108,141.2104374
Miyagi-ken Osaki-shi,38.5770849,140.9556308
Miyagi-ken Tomiya-shi,38.3999673,140.8952018
Miyagi-ken Zao-machi,38.0980663,140.6587766
Miyagi-ken Shichikashuku-machi,37.9932199,140.4417445
Miyagi-ken Ogawara-machi,38.0507925,140.7365239
Miyagi-ken Murata-machi,38.1185251,140.7224796
Miyagi-ken Shibata-machi,38.0565346,140.7658363
Miyagi-ken Kawasaki-machi,38.1777217,140.6432336
Miyagi-ken Marumori-machi,37.9115173,140.7654231
Miyagi-ken Watari-cho,38.0378009,140.8525347
